tier,brand_name,awareness_score,instagram_followers,business_website
2,Shop101,3,,https://www.shop101.com
2,53 Takeoffs (Thrillophilia parent),3,,http://thrillophilia.com
2,Notion Press,3,,https://notionpress.com
2,Nef's Finds,3,,http://www.nefsfinds.com
2,Sarashape,3,,https://www.sarashape.in/
2,Modern Quests,3,,https://www.modernquests.com/
2,Bombay Shirt Company,3,,https://www.bombayshirts.com/
2,Absolute Barbecues (AB's),3,,https://www.absolutebarbecues.com/
2,The CAI Store,3,,https://thecaistore.com/
2,Anveshan,3,,https://www.anveshan.farm/
2,d'you,3,,https://www.dyou.co
2,Bastian Mumbai,3,,null
2,Granimals,3,,https://www.granimals.com/
2,KashmirBox,3,,https://www.kashmirbox.com
2,Amura Health,3,,https://amura.ai/
2,Campus Sutra,3,,https://campussutra.com/
2,BookLeaf Publishing,3,,http://www.bookleafpub.com
2,Elivaas,3,,https://www.elivaas.com/
2,Trek The Himalayas,3,,https://www.trekthehimalayas.com
2,SaffronStays,3,,http://www.saffronstays.com
2,Proactive For Her,3,,https://www.proactiveforher.com/
2,Mystery Rooms India,3,,http://www.mysteryrooms.in
2,NutraBox,3,,https://nutrabox.in/
2,Ivalin Mabia,3,,https://ivalinmabia.com/
2,Manam Chocolate,3,,https://manamchocolate.com/
2,Hamercop,3,,https://hamercop.com/
2,William Penn,3,,https://www.williampenn.net/
2,Hafsaad,3,,https://hafsaad.com/
2,Little Muffet,3,,https://littlemuffet.com/
2,Aristobrat,3,,http://www.aristobrat.in
2,Pinklay,3,,https://www.pinklay.com
2,Tattva Spa,3,,http://www.tattvaspa.com
2,Just Dogs,3,,http://www.justdogsstore.com
2,Quirksmith,3,,https://quirksmith.com/
2,Mulmul,3,,https://shopmulmul.com/
2,Mudumalai Tiger Reserve,3,,https://www.mudumalaitigerreserve.com
2,The Orchid Hotel,3,,https://www.orchidhotel.com
2,Nu Skin,3,,https://www.nuskin.com/in/en/
2,Saint G,3,,http://saintgshoes.com
2,KisanKonnect,2,68K,https://www.kisankonnect.in/
2,KPN Fresh,2,Low,https://www.kpnfresh.com/
2,Habuild,2,234K,https://habuild.in/
2,WishCare,2,225K,https://www.mywishcare.com
2,Sangam Dairy,2,18K,https://www.sangamdairy.com/home
2,TenderCuts,2,13K,https://tendercuts.in
2,Apna Mart,2,,null
2,Robu.in,2,80K,https://robu.in
2,Ditch The Guilt,2,30K,http://www.ditchtheguilt.fit
2,FlightsMojo,2,,https://www.flightsmojo.in/
2,Uzhavarbumi,2,,https://play.google.com/store/apps/details?id=com.uzhavarbumi.app
2,Urvann,2,182K,https://www.urvann.com
2,Healthmug,2,14K,https://www.healthmug.com
2,KisanKonnect,2,68K,https://www.kisankonnect.in
2,Ratnadeep,2,10K,https://rdp.honebi.online/
2,Pride of Cows,2,98K,https://prideofcows.com/poc/customer
2,FUAARK,2,176K,https://fuaark.com/
2,Chowman,2,14K,http://chowman.net
2,Flo Mattress,2,186K,http://www.flomattress.com/
2,Go Nature,2,57K,https://gonature.ediet.clinic/
2,Sangeetha Studios,2,12K,http://www.sangeetha.studio
2,Shimul Dairy,2,,https://www.shimul.coop/
2,HyugaLife,2,95K,https://hyugalife.com
2,DrinkPrime,2,20K,https://drinkprime.in
2,Koparo Clean,2,93K,https://koparoclean.com/
2,BigHaat,2,46K,https://www.bighaat.com/
2,Pitshirts,2,115K,https://pitshirts.in/
2,Vetic,2,17K,https://vetic.in
2,StarQuik,2,11K,https://www.starquik.com/
2,Vijetha Supermarkets,2,,https://vijetha.in/
2,Biryani Blues,2,,https://biryaniblues.com
2,Absolut Pet,2,,https://absolutpet.in/
2,Elevate Now,2,,https://www.joinelevatenow.com/
2,Bombay Musk,2,,https://www.bombaymusk.com/
2,Hugg,2,,https://gethugg.com
2,Milky Moo (Milk Mantra),2,,https://play.google.com/store/apps/details?id=com.dailymoo&hl=en_IN
2,Cook With Sangeetha,2,,https://www.cookwithsangeetha.com/
2,Hariba Dairy Farm,2,,https://haribadairyfarm.com/
2,Ajjas,2,,https://ajjas.com/
2,Bhoomi Farms,2,,https://members.bhoomi.farm/profile
2,Heelium,2,,https://www.heelium.in
2,Cambay Tiger,2,,https://www.cambaytiger.com/
2,Hibiscus Monkey,2,,http://hibiscusmonkey.com
2,Amintiri,2,,https://amintiri.in/
2,Healthfab (GoPadFree),2,,http://www.healthfab.in
2,Blend It Raw Apothecary,2,,https://www.blenditrawapothecary.in/
2,Aminu Skincare,2,,https://aminu.life/
2,Ticketalay,2,,https://ticketalay.com
2,Narayanji GajakWale,2,,https://narayanjigajakwale.in/
2,Ahujasons Shawl Wale,2,,https://www.ahujasons.com
2,BooksWagon,2,,https://www.bookswagon.com
2,Bakeyy,2,,https://www.bakeyy.com/
2,Surma (livinginsurma),2,,https://surma.in/
2,Desi Sandook,2,,http://www.desisandook.in
2,Adira (myadira),2,,https://myadira.com/
2,GlamZei,2,,https://glamzei.com/
2,Design Info,2,,https://www.designinfo.in
2,PROTM Fitness,2,,https://protm.in/
2,BOHECO,2,,https://boheco.com/
2,TUMUL / Nandini,2,,https://www.tumul.coop/
2,ZILO,2,,https://www.zilo.one/
